,age,affordability,insurance
206,60,no,no
207,13,no,yes
208,80,no,no
209,33,yes,yes
210,27,no,yes
211,73,no,no
212,27,yes,yes
213,33,yes,no
214,62,yes,no
215,60,no,yes
216,79,no,yes
217,76,no,no
218,55,yes,yes
219,32,yes,yes
220,44,yes,no
221,40,yes,yes
222,63,yes,yes
223,27,yes,no
224,79,yes,no
225,77,no,no
226,59,no,yes
227,66,yes,no
228,55,no,no
229,35,yes,yes
230,57,no,no
231,65,yes,yes
232,44,no,yes
233,53,no,yes
234,16,yes,no
235,63,no,yes
236,49,yes,yes
237,64,yes,no
238,49,no,yes
239,51,no,yes
240,47,no,no
241,29,no,yes
242,60,yes,no
243,52,yes,yes
244,28,yes,no
245,28,no,yes
246,76,no,no
247,64,yes,no
248,40,no,no
249,75,no,yes
250,53,no,yes
251,10,yes,no
252,21,yes,no
253,74,no,yes
254,80,yes,no
255,21,yes,no
256,31,no,no
257,26,no,no
258,80,no,no
259,13,no,no
260,50,no,no
261,36,yes,yes
262,56,no,no
263,33,yes,no
264,43,no,no
265,17,yes,yes
266,42,yes,no
267,14,yes,no
268,73,yes,yes
269,24,yes,no
270,19,yes,no
271,24,no,yes
272,10,no,yes
273,42,no,yes
274,21,yes,yes
275,42,yes,yes
276,78,yes,yes
277,60,yes,yes
278,32,yes,no
279,73,yes,yes
280,56,yes,yes
281,47,yes,yes
282,15,no,yes
283,71,no,yes
284,72,yes,yes
285,71,no,no
286,33,no,no
287,55,no,yes
288,38,no,no
289,47,yes,yes
290,39,yes,yes
291,72,no,no
292,14,yes,no
293,38,yes,no
294,73,no,yes
295,69,no,no
296,24,yes,no
297,17,no,yes
298,18,no,no
299,24,yes,yes
300,57,no,no
301,44,no,yes
302,13,no,no
303,58,yes,no
304,70,yes,no
305,56,no,no
306,15,no,yes
307,14,yes,no
308,65,no,no
309,11,no,yes
310,35,no,no
311,17,yes,yes
312,31,yes,yes
313,23,no,no
314,13,yes,yes
315,64,yes,yes
316,18,yes,yes
317,40,no,yes
318,55,yes,yes
319,66,no,yes
320,63,no,yes
321,28,yes,yes
322,31,yes,no
323,17,no,no
324,74,yes,yes
325,56,yes,no
326,40,no,no
327,71,yes,yes
328,29,no,yes
329,53,no,yes
330,25,no,yes
331,31,no,no
332,55,no,yes
333,53,no,yes
334,52,yes,no
335,49,yes,no
336,48,no,yes
337,22,no,yes
338,80,yes,yes
339,46,yes,yes
340,45,yes,no
341,60,yes,no
342,79,yes,yes
343,52,no,yes
344,53,no,yes
345,71,yes,yes
346,74,no,yes
347,27,no,no
348,59,no,yes
349,29,no,no
350,16,no,no
351,47,no,no
352,37,yes,no
353,76,yes,no
354,61,yes,yes
355,13,yes,yes
356,71,yes,no
357,71,no,yes
358,74,no,yes
359,70,yes,no
360,33,yes,no
361,53,no,no
362,41,no,no
363,49,yes,yes
364,14,yes,yes
365,37,yes,yes
366,43,no,yes
367,45,yes,no
368,57,yes,yes
369,47,no,no
370,62,no,no
371,23,yes,yes
372,49,no,yes
373,46,no,no
374,75,yes,no
375,51,no,no
376,67,yes,yes
377,72,yes,yes
378,76,no,yes
379,64,no,no
380,79,no,no
381,57,no,no
382,57,no,no
383,34,no,no
384,18,yes,yes
385,79,no,yes
386,30,yes,yes
387,78,no,no
388,38,no,yes
389,21,yes,no
390,28,no,yes
391,55,yes,no
392,25,yes,no
393,67,yes,no
394,28,no,yes
395,24,yes,no
396,80,no,no
397,14,yes,no
398,16,yes,no
399,42,no,yes
400,51,no,no
401,67,no,no
402,78,no,yes
403,31,no,yes
404,66,yes,yes
405,13,yes,yes
406,49,yes,yes
407,21,no,yes
408,75,no,no
409,42,no,yes
410,28,yes,no
411,74,no,yes
412,25,yes,yes
413,71,yes,yes
414,54,no,no
415,64,no,no
416,27,yes,no
417,50,yes,no
418,68,yes,no
419,80,yes,no
420,21,no,yes
421,78,yes,no
422,66,yes,yes
423,35,no,yes
424,47,yes,yes
425,31,no,no
426,50,no,yes
427,18,yes,no
428,62,no,no
429,80,yes,no
430,67,yes,yes
431,72,no,yes
432,39,yes,no
433,35,yes,no
434,41,no,no
435,73,no,no
436,59,no,no
437,16,yes,no
438,37,yes,no
439,68,yes,no
440,58,no,no
441,38,yes,yes
442,32,yes,yes
443,69,yes,yes
444,75,no,yes
445,21,no,yes
446,15,no,yes
447,12,yes,yes
448,54,no,no
449,53,yes,yes
450,52,no,no
451,22,yes,no
452,77,no,yes
453,36,no,yes
454,72,no,no
455,13,no,yes
456,69,yes,yes
457,26,yes,yes
458,68,no,yes
459,44,yes,no
460,50,no,no
461,10,yes,no
462,44,no,yes
463,13,yes,no
464,63,yes,no
465,73,no,yes
466,51,yes,no
467,38,yes,no
468,43,yes,yes
469,40,yes,yes
470,73,no,yes
471,15,no,no
472,74,yes,no
473,20,no,no
474,52,yes,yes
475,66,yes,yes
476,21,yes,yes
477,74,no,no
478,47,no,yes
479,78,no,yes
480,69,yes,no
481,35,yes,yes
482,69,no,yes
483,20,no,yes
484,28,yes,yes
485,33,no,yes
486,16,no,no
487,70,no,no
488,41,yes,yes
489,33,no,no
490,63,no,yes
491,80,no,no
492,54,no,no
493,32,no,no
494,79,yes,yes
495,50,no,yes
496,40,yes,no
497,15,yes,yes
498,60,yes,no
499,40,yes,yes
500,28,yes,no
501,45,yes,no
502,24,yes,no
503,66,yes,yes
504,69,yes,no
505,43,no,no
506,50,yes,no
507,35,yes,no
508,58,no,no
509,27,no,yes
510,12,yes,no
511,27,yes,no
512,72,no,yes
513,61,no,no
514,25,yes,yes
515,74,yes,no
516,58,yes,yes
517,42,yes,no
518,75,no,no
519,72,no,yes
520,33,yes,no
521,65,no,yes
522,55,no,no
523,28,yes,yes
524,45,no,yes
525,29,no,yes
526,32,no,yes
527,39,no,yes
528,65,no,yes
529,28,no,no
530,17,no,no
531,22,no,yes
532,41,no,no
533,49,no,yes
534,33,no,yes
535,51,yes,yes
536,23,yes,no
537,36,no,no
538,52,no,no
539,51,yes,no
540,37,no,no
541,19,no,no
542,28,no,no
543,64,no,no
544,25,yes,yes
545,60,yes,yes
546,31,no,yes
547,55,no,yes
548,16,no,no
549,68,yes,yes
550,72,no,no
551,19,yes,no
552,53,yes,no
553,31,yes,no
554,14,yes,no
555,65,yes,yes
556,71,no,no
557,28,no,no
558,14,yes,no
559,67,no,yes
560,21,yes,yes
561,43,yes,yes
562,64,no,yes
563,43,yes,no
564,47,yes,no
565,54,yes,yes
566,41,yes,yes
567,75,no,yes
568,63,no,yes
569,78,no,no
570,71,no,yes
571,52,no,no
572,19,no,no
573,80,yes,yes
574,40,no,yes
575,28,no,yes
576,20,yes,no
577,78,yes,yes
578,11,yes,yes
579,45,yes,no
580,23,no,no
581,72,yes,yes
582,21,yes,yes
583,69,yes,no
584,28,yes,no
585,49,yes,no
586,75,no,no
587,63,no,no
588,49,yes,no
589,20,no,yes
590,63,no,yes
591,56,no,yes
592,17,yes,yes
593,78,no,yes
594,48,no,yes
595,62,no,no
596,68,yes,yes
597,80,yes,yes
598,26,no,yes
599,46,no,yes
600,76,no,yes
601,12,yes,yes
602,32,no,no
603,23,no,yes
604,28,no,no
605,51,yes,no
606,39,yes,no
607,14,yes,yes
608,21,yes,yes
609,75,yes,yes
610,63,yes,no
611,29,no,no
612,23,yes,yes
613,49,yes,no
614,53,no,no
615,41,no,yes
616,20,no,no
617,33,no,yes
618,53,no,no
619,39,no,no
620,47,yes,yes
621,43,no,no
622,15,no,no
623,21,no,yes
624,50,yes,yes
625,61,yes,no
626,23,no,yes
627,50,yes,yes
628,30,no,no
629,32,yes,yes
630,45,no,yes
631,58,no,yes
632,47,yes,no
633,48,no,yes
634,51,no,yes
635,14,no,yes
636,75,no,no
637,27,yes,no
638,45,yes,no
639,54,yes,no
640,37,yes,yes
641,47,yes,yes
642,80,yes,no
643,30,no,yes
644,54,no,yes
645,48,yes,yes
646,63,no,no
647,57,no,no
648,43,yes,no
649,61,yes,no
650,13,yes,no
651,29,no,no
652,62,yes,yes
653,56,no,no
654,50,yes,yes
655,35,no,yes
656,16,no,yes
657,25,no,no
658,72,yes,yes
659,43,yes,no
660,36,no,yes
661,76,no,yes
662,74,no,no
663,21,no,no
664,64,no,no
665,75,yes,no
666,40,no,no
667,59,yes,yes
668,33,no,yes
669,57,yes,no
670,62,no,no
671,57,no,no
672,53,yes,no
673,12,no,yes
674,14,yes,yes
675,65,yes,yes
676,26,yes,yes
677,17,no,yes
678,35,no,yes
679,26,yes,yes
680,79,no,no
681,41,no,no
682,78,no,yes
683,14,yes,yes
684,34,yes,yes
685,38,yes,no
686,17,no,yes
687,75,yes,no
688,51,yes,yes
689,41,no,no
690,45,yes,no
691,10,yes,yes
692,58,yes,no
693,38,yes,yes
694,32,yes,no
695,80,no,no
696,31,no,no
697,42,yes,no
698,65,no,yes
699,59,no,yes
700,58,no,yes
701,63,yes,no
702,42,no,no
703,11,yes,no
704,43,yes,no
705,65,yes,yes
706,59,no,yes
707,24,yes,yes
708,50,yes,no
709,50,yes,no
710,51,no,no
711,56,yes,yes
712,39,no,no
713,22,yes,yes
714,27,yes,yes
715,25,no,no
716,72,yes,no
717,50,no,yes
718,61,yes,no
719,70,no,no
720,58,yes,no
721,42,yes,no
722,43,no,no
723,63,no,yes
724,20,no,no
725,71,no,no
726,10,yes,yes
727,46,yes,no
728,39,no,yes
729,79,yes,yes
730,73,yes,yes
731,72,yes,no
732,18,yes,yes
733,43,yes,no
734,42,yes,no
735,19,yes,no
736,27,yes,yes
737,24,yes,no
738,22,yes,no
739,64,yes,no
740,68,yes,no
741,79,yes,no
742,73,no,no
743,77,no,no
744,70,no,yes
745,36,no,yes
746,75,no,no
747,38,yes,yes
748,70,no,no
749,74,no,yes
750,37,no,yes
751,78,no,yes
752,64,no,yes
753,18,yes,yes
754,12,yes,no
755,34,yes,yes
756,15,yes,no
757,61,no,yes
758,26,yes,no
759,66,no,no
760,46,yes,no
761,69,no,yes
762,64,yes,no
763,64,no,yes
764,78,yes,yes
765,36,no,no
766,23,yes,yes
767,78,no,yes
768,15,no,yes
769,14,yes,yes
770,21,no,yes
771,43,yes,yes
772,63,no,yes
773,44,no,no
774,37,no,no
775,15,no,no
776,80,no,no
777,27,yes,no
778,59,no,yes
779,59,no,no
780,20,no,no
781,44,yes,yes
782,12,yes,no
783,20,yes,no
784,80,yes,no
785,21,no,no
786,56,yes,no
787,51,no,no
788,27,yes,no
789,16,no,no
790,11,no,yes
791,62,yes,no
792,14,no,no
793,71,yes,yes
794,37,no,no
795,52,no,yes
796,46,no,no
797,25,no,yes
798,49,yes,yes
799,22,yes,yes
800,70,yes,no
801,63,yes,yes
802,21,no,no
803,27,yes,no
804,15,yes,no
805,16,yes,no
806,80,no,no
807,69,no,no
808,12,yes,no
809,75,no,no
810,14,yes,no
811,55,yes,yes
812,48,yes,yes
813,55,no,no
814,40,yes,yes
815,41,no,no
816,67,no,yes
817,17,no,no
818,68,no,no
819,10,yes,yes
820,63,yes,no
821,15,no,no
822,59,yes,no
823,15,no,no
824,14,no,no
825,73,no,no
826,73,no,yes
827,77,yes,yes
828,45,yes,yes
829,65,no,no
830,22,yes,no
831,20,no,no
832,26,no,no
833,51,no,yes
834,36,no,yes
835,51,yes,yes
836,54,yes,no
837,75,yes,no
838,25,no,no
839,32,no,no
840,13,yes,no
841,61,yes,no
842,47,yes,yes
843,42,yes,no
844,80,no,no
845,53,yes,no
846,63,no,no
847,68,yes,no
848,29,yes,yes
849,17,yes,yes
850,52,no,no
851,19,yes,no
852,77,yes,yes
853,39,yes,yes
854,17,no,yes
855,53,no,no
856,13,no,no
857,19,no,yes
858,47,no,yes
859,53,yes,no
860,78,yes,yes
861,67,no,yes
862,74,yes,yes
863,30,yes,no
864,49,yes,no
865,37,yes,yes
866,74,no,yes
867,25,no,yes
868,62,no,yes
869,40,no,yes
870,69,yes,no
871,36,no,no
872,74,yes,no
873,23,yes,yes
874,61,yes,yes
875,67,no,yes
876,25,yes,no
877,64,yes,yes
878,77,no,no
879,25,yes,yes
880,63,no,yes
881,50,no,no
882,33,yes,no
883,27,no,no
884,54,yes,yes
885,17,yes,no
886,22,no,no
887,25,no,no
888,32,yes,no
889,38,no,no
890,48,yes,yes
891,18,no,yes
892,72,yes,yes
893,73,no,no
894,47,yes,yes
895,24,yes,no
896,78,no,no
897,40,no,no
898,32,no,yes
899,45,no,no
900,66,no,yes
901,41,yes,no
902,75,yes,no
903,57,no,no
904,46,no,yes
905,64,no,no
906,58,yes,no
907,18,yes,yes
908,22,no,no
909,26,yes,yes
910,10,no,yes
911,21,no,no
912,73,yes,yes
913,12,no,no
914,68,yes,no
915,77,yes,no
916,67,no,yes
917,27,yes,no
918,13,no,no
919,73,yes,no
920,31,yes,no
921,14,yes,no
922,25,no,yes
923,26,yes,no
924,29,no,no
925,77,no,yes
926,45,no,no
927,53,no,no
928,16,no,no
929,53,yes,yes
930,57,yes,no
931,70,yes,yes
932,15,no,no
933,34,yes,no
934,69,yes,yes
935,58,yes,no
936,28,no,yes
937,65,yes,yes
938,77,no,yes
939,19,no,yes
940,52,no,yes
941,25,yes,no
942,61,yes,no
943,11,yes,yes
944,12,yes,yes
945,12,yes,no
946,38,yes,no
947,36,no,yes
948,16,yes,yes
949,21,no,yes
950,47,no,yes
951,54,no,yes
952,52,yes,yes
953,68,no,yes
954,27,yes,no
955,31,no,yes
956,20,yes,yes
957,71,no,no
958,59,no,yes
959,74,no,no
960,59,yes,yes
961,54,yes,yes
962,17,yes,yes
963,68,yes,yes
964,38,no,yes
965,16,no,yes
966,66,no,no
967,40,yes,no
968,27,no,yes
969,61,yes,no
970,53,no,yes
971,62,no,yes
972,22,no,yes
973,32,yes,no
974,19,no,no
975,59,yes,yes
976,53,no,yes
977,69,no,yes
978,44,yes,no
979,34,yes,yes
980,45,yes,yes
981,77,yes,no
982,74,yes,no
983,43,yes,yes
984,27,yes,yes
985,15,no,no
986,80,yes,no
987,76,yes,yes
988,51,no,yes
989,57,yes,no
990,10,no,no
991,14,yes,yes
992,74,no,yes
993,62,yes,no
994,16,yes,yes
995,51,yes,yes
996,28,yes,yes
997,23,yes,yes
998,70,no,no
999,33,no,yes
